结婚次数,星级
2,3
3,3
4,4
5,5
6,6
7,6
8,7
9,8
10,8
11,9
12,9
13,10
14,10
15,11
16,11
17,12
18,12
19,13
20,13
21,14
22,14
23,14
24,15
25,15
26,16
27,16
28,16
29,17
30,17
31,17
32,18
33,18
34,19
35,19
36,20
37,20
38,20
39,21
40,21
41,21
42,22
43,22
44,22
45,23
46,23
47,23
48,24
49,24
50,24
51,25
52,25
53,25
54,25
55,26
56,26
57,26
58,26
59,27
60,27
61,27
62,27
63,28
64,28
65,28
66,28
67,28
68,29
69,29
70,29
71,29
72,30
73,30
74,30
75,30
76,30
77,31
78,31
79,31
80,31
81,32
82,32
83,32
84,32
85,32
86,32
87,33
88,33
89,33
90,33
91,33
92,34
93,34
94,34
95,34
96,34
97,35
98,35
99,35
100,35
101,35
102,36
103,36
104,36
105,36
106,36
107,36
108,37
109,37
110,37
111,37
112,37
113,37
114,38
115,38
116,38
117,38
118,38
119,39
120,39
121,39
122,39
123,39
124,39
125,39
126,40
127,40
128,40
129,40
130,40
131,40
132,41
133,41
134,41
135,41
136,41
137,41
138,41
139,41
140,42
141,42
142,42
143,42
144,42
145,42
146,43
147,43
148,43
149,43
150,43
151,43
152,43
153,43
154,44
155,44
156,44
157,44
158,44
159,44
160,44
161,44
162,45
163,45
164,45
165,45
166,45
167,45
168,45
169,45
170,46
171,46
172,46
173,46
174,46
175,46
176,46
177,46
178,47
179,47
180,47
181,47
182,47
183,47
184,47
185,47
186,47
187,48
188,48
189,48
190,48
191,48
192,48
193,48
194,48
195,48
196,49
197,49
198,49
199,49
200,49
201,49
202,49
203,49
204,49
205,49
206,50
207,50
208,50
209,50
210,50
211,50
212,50
213,50
214,50
215,50
216,50
217,51
218,51
219,51
220,51
221,51
222,51
223,51
224,51
225,51
226,51
227,52
228,52
229,52
230,52
231,52
232,52
233,52
234,52
235,52
236,52
237,52
238,53
239,53
240,53
241,53
242,53
243,53
244,53
245,53
246,53
247,53
248,53
249,53
250,53
251,54
252,54
253,54
254,54
255,54
256,54
257,54
258,54
259,54
260,54
261,54
262,54
263,55
264,55
265,55
266,55
267,55
268,55
269,55
270,55
271,55
272,55
273,55
274,55
275,56
276,56
277,56
278,56
279,56
280,56
281,56
282,56
283,56
284,56
285,56
286,56
287,56
288,57
289,57
290,57
291,57
292,57
293,57
294,57
295,57
296,57
297,57
298,57
299,57
300,57
301,58
302,58
303,58
304,58
305,58
306,58
307,58
308,58
309,58
310,58
311,58
312,58
313,58
314,58
315,59
316,59
317,59
318,59
319,59
320,59
321,59
322,59
323,59
324,59
325,59
326,59
327,59
328,59
329,60
330,60
331,60
332,60
333,60
334,60
335,60
336,60
337,60
338,60
339,60
340,60
341,60
342,60
343,60
344,61
345,61
346,61
347,61
348,61
349,61
350,61
351,61
352,61
353,61
354,61
355,61
356,61
357,61
358,61
359,61
360,62
361,62
362,62
363,62
364,62
365,62
366,62
367,62
368,62
369,62
370,62
371,62
372,62
373,62
374,62
375,62
376,63
377,63
378,63
379,63
380,63
381,63
382,63
383,63
384,63
385,63
386,63
387,63
388,63
389,63
390,63
391,63
392,63
393,64
394,64
395,64
396,64
397,64
398,64
399,64
400,64
401,64
402,64
403,64
404,64
405,64
406,64
407,64
408,64
409,64
410,64
411,65
412,65
413,65
414,65
415,65
416,65
417,65
418,65
419,65
420,65
421,65
422,65
423,65
424,65
425,65
426,65
427,65
428,65
429,65
430,66
431,66
432,66
433,66
434,66
435,66
436,66
437,66
438,66
439,66
440,66
441,66
442,66
443,66
444,66
445,66
446,66
447,66
448,66
449,67
450,67
451,67
452,67
453,67
454,67
455,67
456,67
457,67
458,67
459,67
460,67
461,67
462,67
463,67
464,67
465,67
466,67
467,67
468,67
469,67
470,68
471,68
472,68
473,68
474,68
475,68
476,68
477,68
478,68
479,68
480,68
481,68
482,68
483,68
484,68
485,68
486,68
487,68
488,68
489,68
490,68
491,69
492,69
493,69
494,69
495,69
496,69
497,69
498,69
499,69
500,69
501,69
502,69
503,69
504,69
505,69
506,69
507,69
508,69
509,69
510,69
511,69
512,69
513,70
514,70
515,70
516,70
517,70
518,70
519,70
520,70
521,70
522,70
523,70
524,70
525,70
526,70
527,70
528,70
529,70
530,70
531,70
532,70
533,70
534,70
535,70
536,71
537,71
538,71
539,71
540,71
541,71
542,71
543,71
544,71
545,71
546,71
547,71
548,71
549,71
550,71
551,71
552,71
553,71
554,71
555,71
556,71
557,71
558,71
559,71
560,72
561,72
562,72
563,72
564,72
565,72
566,72
567,72
568,72
569,72
570,72
571,72
572,72
573,72
574,72
575,72
576,72
577,72
578,72
579,72
580,72
581,72
582,72
583,72
584,72
585,73
586,73
587,73
588,73
589,73
590,73
591,73
592,73
593,73
594,73
595,73
596,73
597,73
598,73
599,73
600,73
601,73
602,73
603,73
604,73
