结婚次数,星级
2,2
3,3
4,3
5,4
6,4
7,5
8,5
9,6
10,6
11,7
12,7
13,7
14,8
15,8
16,8
17,9
18,9
19,9
20,10
21,10
22,11
23,11
24,11
25,12
26,12
27,13
28,13
29,13
30,14
31,14
32,14
33,15
34,15
35,15
36,15
37,16
38,16
39,16
40,16
41,17
42,17
43,17
44,18
45,18
46,18
47,19
48,19
49,19
50,20
51,20
52,20
53,20
54,21
55,21
56,21
57,21
58,21
59,22
60,22
61,22
62,22
63,22
64,23
65,23
66,23
67,23
68,24
69,24
70,24
71,24
72,24
73,25
74,25
75,25
76,25
77,25
78,25
79,26
80,26
81,26
82,26
83,26
84,27
85,27
86,27
87,27
88,27
89,28
90,28
91,28
92,28
93,28
94,28
95,29
96,29
97,29
98,29
99,29
100,29
101,30
102,30
103,30
104,30
105,30
106,30
107,31
108,31
109,31
110,31
111,31
112,31
113,31
114,32
115,32
116,32
117,32
118,32
119,32
120,33
121,33
122,33
123,33
124,33
125,33
126,33
127,34
128,34
129,34
130,34
131,34
132,34
133,34
134,34
135,35
136,35
137,35
138,35
139,35
140,35
141,35
142,35
143,36
144,36
145,36
146,36
147,36
148,36
149,36
150,36
151,37
152,37
153,37
154,37
155,37
156,37
157,37
158,37
159,38
160,38
161,38
162,38
163,38
164,38
165,38
166,38
167,39
168,39
169,39
170,39
171,39
172,39
173,39
174,39
175,39
176,40
177,40
178,40
179,40
180,40
181,40
182,40
183,40
184,40
185,40
186,40
187,41
188,41
189,41
190,41
191,41
192,41
193,41
194,41
195,41
196,41
197,41
198,42
199,42
200,42
201,42
202,42
203,42
204,42
205,42
206,42
207,43
208,43
209,43
210,43
211,43
212,43
213,43
214,43
215,43
216,43
217,43
218,44
219,44
220,44
221,44
222,44
223,44
224,44
225,44
226,44
227,44
228,44
229,44
230,45
231,45
232,45
233,45
234,45
235,45
236,45
237,45
238,45
239,45
240,45
241,45
242,46
243,46
244,46
245,46
246,46
247,46
248,46
249,46
250,46
251,46
252,46
253,47
254,47
255,47
256,47
257,47
258,47
259,47
260,47
261,47
262,47
263,47
264,47
265,47
266,47
267,47
268,48
269,48
270,48
271,48
272,48
273,48
274,48
275,48
276,48
277,48
278,48
279,48
280,48
281,49
282,49
283,49
284,49
285,49
286,49
287,49
288,49
289,49
290,49
291,49
292,49
293,49
294,50
295,50
296,50
297,50
298,50
299,50
300,50
301,50
302,50
303,50
304,50
305,50
306,50
307,50
308,50
309,50
310,50
311,51
312,51
313,51
314,51
315,51
316,51
317,51
318,51
319,51
320,51
321,51
322,51
323,51
324,51
325,51
326,51
327,52
328,52
329,52
330,52
331,52
332,52
333,52
334,52
335,52
336,52
337,52
338,52
339,52
340,52
341,52
342,52
343,52
344,53
345,53
346,53
347,53
348,53
349,53
350,53
351,53
352,53
353,53
354,53
355,53
356,53
357,53
358,53
359,53
360,53
361,53
362,54
363,54
364,54
365,54
366,54
367,54
368,54
369,54
370,54
371,54
372,54
373,54
374,54
375,54
376,54
377,54
378,54
379,54
380,55
381,55
382,55
383,55
384,55
385,55
386,55
387,55
388,55
389,55
390,55
391,55
392,55
393,55
394,55
395,55
396,55
397,55
398,55
399,56
400,56
401,56
402,56
403,56
404,56
405,56
406,56
407,56
408,56
409,56
410,56
411,56
412,56
413,56
414,56
415,56
416,57
417,57
418,57
419,57
420,57
421,57
422,57
423,57
424,57
425,57
426,57
427,57
428,57
429,57
430,57
431,57
432,57
433,57
434,58
435,58
436,58
437,58
438,58
439,58
440,58
441,58
442,58
443,58
444,58
445,58
446,58
447,58
448,58
449,58
450,58
451,58
452,58
453,58
454,59
455,59
456,59
457,59
458,59
459,59
460,59
461,59
462,59
463,59
464,59
465,59
466,59
467,59
468,59
469,59
470,59
471,59
472,59
473,59
474,59
475,60
476,60
477,60
478,60
479,60
480,60
481,60
482,60
483,60
484,60
485,60
486,60
487,60
488,60
489,60
490,60
491,60
492,60
493,60
494,60
495,60
496,61
497,61
498,61
499,61
500,61
501,61
502,61
503,61
504,61
505,61
506,61
507,61
508,61
509,61
510,61
511,61
512,61
513,61
514,61
515,61
516,61
517,61
518,61
519,62
520,62
521,62
522,62
523,62
524,62
525,62
526,62
527,62
528,62
529,62
530,62
531,62
532,62
533,62
534,62
535,62
536,62
537,62
538,62
539,62
540,62
541,62
542,62
543,62
544,63
545,63
546,63
547,63
548,63
549,63
550,63
551,63
552,63
553,63
554,63
555,63
556,63
557,63
558,63
559,63
560,63
561,63
562,63
563,63
564,63
565,63
566,63
567,64
568,64
569,64
570,64
571,64
572,64
573,64
574,64
575,64
576,64
577,64
578,64
579,64
580,64
581,64
582,64
583,64
584,64
585,64
586,64
587,64
588,64
589,64
590,64
591,64
592,64
593,64
594,64
595,64
596,65
597,65
598,65
599,65
600,65
601,65
602,65
603,65
604,65
